Title,Brand,Model Name,Screen Size,Colour,Hard Disk Size,CPU Model,RAM Memory Installed Size,Operating System
"MSI GF63 Thin, Intel Core i7-11800H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 3050, GDDR6 4GB/Black/1.8Kg), 11UC-1293IN",MSI,GF63 Thin 11UC-1293IN,40 Centimetres,Black,Information not available,Core i7,16 GB,Windows 11 Home
"MSI GF63 Thin, Intel Core i7-11800H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 3050, GDDR6 4GB/Black/1.8Kg), 11UC-1293IN",MSI,GF63 Thin 11UC-1293IN,40 Centimetres,Black,Information not available,Core i7,16 GB,Windows 11 Home
"MSI GF63 Thin, Intel Core i7-11800H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 3050, GDDR6 4GB/Black/1.8Kg), 11UC-1293IN",MSI,GF63 Thin 11UC-1293IN,40 Centimetres,Black,Information not available,Core i7,16 GB,Windows 11 Home
Information not available,Lenovo,IdeaPad 3 15IAU7,15.6 Inches,Arctic Grey,Information not available,Core i5,16 GB,Windows 11 Home
Information not available,Lenovo,IdeaPad 3 15IAU7,15.6 Inches,Arctic Grey,Information not available,Core i5,16 GB,Windows 11 Home
Information not available,Lenovo,IdeaPad 1 14IGL7,14 Inches,Gray,Information not available,Celeron N4020,4 GB,Windows 11 Home
Information not available,Acer,Aspire Lite,15.6 Inches,Steel Gray,Information not available,AMD Ryzen 5 5500U,16 GB,Windows 11 Home
Information not available,Lenovo,IdeaPad 3 15IAU7,15.6 Inches,Arctic Grey,Information not available,Core i3,8 GB,Windows 11 Home
Information not available,Acer,Extensa,15.6 Inches,Information not available,512 GB,Ryzen 3,8 GB,Windows 11 Home
"HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge, Touchscreen, 2-in-1 Laptop (4GB RAM/64GB eMMC/Chrome OS/Intel UHD Graphics,1.49Kg), 14a-ca0506TU",HP,Chromebook,14 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS
"HP Laptop 15s, 11th Gen Intel Core i3-1115G4, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq2717TU",HP,15s-fq2717TU,39.6 Centimetres,Natural Silver,512 GB,Core i3,8 GB,Windows 11 Home
"Dell Inspiron 7420 2in1 Touch Laptop,12th Gen Intel Core i3-1215U, 8GB/256GB SSD/14.0"" (35.56Cms) FHD+ WVA 250 nits/Backlit KB + FPR/Windows 11 + MSO'21/15 Month McAfee/Platinum Silver/1.57KG",Dell,Inspiron 7420,14 Inches,Platinum Silver,256 GB,Core i3 Family,8 GB,Windows 11 Home
"ASUS Vivobook 15, Intel Core i7-12650H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ741WS",ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,512 GB,Core i7,16 GB,Windows 11 Home
"Acer Aspire Lite 11th Gen Intel Core i5-1155G7 Thin and Light Laptop (16GB RAM/512GB SSD/Intel Iris Xe Graphics, Win 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",Acer,Aspire Lite,15.6 Inches,Steel Gray,Information not available,Core i5-1155G7,16 GB,Windows 11 Home
Acer Extensa 15 AMD Ryzen™ 3 7320U Quad-Core Processor (8 GB/256 GB SSD/Windows 11 Home/AMD Radeon Graphics/1.78 KG/Steel Gray) EX215-23 Full HD Display Laptop,Acer,Extensa,15.6 Inches,Information not available,256 GB,Ryzen 3,8 GB,Windows 11 Home
"HONOR MagicBook 15, AMD Ryzen 5 5500U 15.6-inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Metal Body/Fingerprint Login/1.54Kg) Mystic Silver",Honor,BMH-WFQ9HN,15.6 Inches,Mystic Silver,512 GB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU",HP,15s,15.6 Inches,Natural Silver,512 GB,Core i5,8 GB,Windows 11 Home
"ASUS Vivobook Pro 15,AMD Ryzen 5 5600H,15.6"" (39.62Cm) Fhd,Thin&Light Laptop (16Gb/512Gb Ssd/4Gb Nvidia Geforce RTX 3050/Windows 11/Office 2021/Backlit/Fingerprint/Blue/1.80 Kg),M6500Qc-Hn541Ws",ASUS,Asus Vivobook Pro 15,15.6 Inches,Quiet Blue,512 GB,Ryzen 5,16 GB,Windows 11 Home
"HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe Graphics/Dual Speakers/Alexa/Backlit KB/MSO/Fast Charge, 15s- fq5112TU",HP,15s- fq5112TU,15.6 Inches,Natural Silver,512 GB,Core i5,16 GB,Windows 11 Home
